st_fips,st_year,st_state,st_stateabb,st_total,st_dem,st_rep,st_repshare,st_demshare,st_income,st_inc10k
5,1976,Arkansas,AR,769,500,269,0.349804938,0.650195062,14209.23828,1.420923829
6,1976,California,CA,7867,3742,3882,0.509181559,0.490818471,21577.19531,2.157719612
8,1976,Colorado,CO,1081,460,584,0.559386969,0.440613031,18998.96289,1.899896264
9,1976,Connecticut,CT,1382,648,719,0.525969267,0.474030733,21737.12891,2.173712969
10,1976,Delaware,DE,236,123,110,0.472103,0.527897,20259.12695,2.025912762
12,1976,Florida,FL,3151,1636,1470,0.473277539,0.526722491,17562.32031,1.756232023
13,1976,Georgia,GA,1467,979,484,0.330827057,0.669172943,15684.48438,1.568448424
15,1976,Hawaii,HI,291,147,140,0.48780489,0.51219511,21759.18945,2.175919056
16,1976,Idaho,ID,341,127,204,0.616314173,0.383685797,16787.47266,1.678747296
17,1976,Illinois,IL,4719,2271,2364,0.510032356,0.489967644,21020.1875,2.102018833
18,1976,Indiana,IN,2220,1015,1184,0.538426578,0.461573452,17923.54883,1.792354941
19,1976,Iowa,IA,1279,620,633,0.505187571,0.494812459,18149.66211,1.814966202
20,1976,Kansas,KS,958,430,503,0.539121091,0.460878879,18510.89063,1.85108912
21,1976,Kentucky,KY,1167,616,532,0.463414639,0.536585391,15033.72168,1.503372192
22,1976,Louisiana,LA,1278,661,587,0.47035256,0.52964741,15317.74121,1.531774163
23,1976,Maine,ME,483,232,236,0.504273534,0.495726496,15723.08887,1.572308898
24,1976,Maryland,MD,1432,760,673,0.469644099,0.530355871,20783.04492,2.078304529
25,1976,Massachusetts,MA,2548,1429,1030,0.418869466,0.581130564,19296.76953,1.92967701
26,1976,Michigan,MI,3654,1697,1894,0.5274297,0.4725703,19555.9707,1.955597043
27,1976,Minnesota,MN,1950,1070,819,0.433562726,0.566437244,18524.67773,1.852467775
28,1976,Mississippi,MS,769,381,367,0.490641713,0.509358287,13081.43359,1.308143377
29,1976,Missouri,MO,1954,998,927,0.481558442,0.518441558,17396.87305,1.739687324
